"claim_id","claim_text","value","unit","statistical_unit","plus_minus_meaning","result_scope","package_source"
"M-001","Current PF true success on the primary benchmark","95.36 +/- 0.59","%","five independently generated task-set seeds; 3,000 matched tasks per seed","sample SD across the five task-set seed means","current_primary_benchmark","01_PRIMARY_5x3000_BENCHMARK/pf_controller_release/evidence/pf_ablation_aggregate_summary.csv"
"M-002","PF-distilled imitation true success on the primary benchmark","89.17 +/- 0.51","%","five independently generated task-set seeds; 3,000 matched tasks per seed","sample SD across the five task-set seed means","current_primary_benchmark","01_PRIMARY_5x3000_BENCHMARK/PRIMARY_BENCHMARK_SUMMARY.csv"
"M-003","Validation-selected PPO true success on the primary benchmark","93.95 +/- 0.63","%","five independently generated task-set seeds; 3,000 matched tasks per seed","sample SD across the five task-set seed means","current_primary_benchmark","01_PRIMARY_5x3000_BENCHMARK/PRIMARY_BENCHMARK_SUMMARY.csv"
"M-004","Validation-tuned PID true success on the primary benchmark","92.44 +/- 0.58","%","five independently generated task-set seeds; 3,000 matched tasks per seed","sample SD across the five task-set seed means","current_primary_benchmark","01_PRIMARY_5x3000_BENCHMARK/PRIMARY_BENCHMARK_SUMMARY.csv"
"M-005","Prespecified PID true success on the primary benchmark","84.59 +/- 0.68","%","five independently generated task-set seeds; 3,000 matched tasks per seed","sample SD across the five task-set seed means","current_primary_benchmark","01_PRIMARY_5x3000_BENCHMARK/PRIMARY_BENCHMARK_SUMMARY.csv"
"M-006","Simple-rule true success on the primary benchmark","77.28 +/- 0.41","%","five independently generated task-set seeds; 3,000 matched tasks per seed","sample SD across the five task-set seed means","current_primary_benchmark","01_PRIMARY_5x3000_BENCHMARK/PRIMARY_BENCHMARK_SUMMARY.csv"
"M-007","PF additions among successful primary-benchmark tasks","4.84 +/- 0.09","additions","five independently generated task-set seeds; 3,000 matched tasks per seed","sample SD across the five task-set seed means","current_primary_benchmark","01_PRIMARY_5x3000_BENCHMARK/pf_controller_release/evidence/pf_ablation_aggregate_summary.csv"
"M-008","Imitation additions among successful primary-benchmark tasks","7.83 +/- 0.16","additions","five independently generated task-set seeds; 3,000 matched tasks per seed","sample SD across the five task-set seed means","current_primary_benchmark","01_PRIMARY_5x3000_BENCHMARK/PRIMARY_BENCHMARK_SUMMARY.csv"
"M-009","PPO additions among successful primary-benchmark tasks","5.20 +/- 0.10","additions","five independently generated task-set seeds; 3,000 matched tasks per seed","sample SD across the five task-set seed means","current_primary_benchmark","01_PRIMARY_5x3000_BENCHMARK/PRIMARY_BENCHMARK_SUMMARY.csv"
"M-010","Tuned-PID additions among successful primary-benchmark tasks","14.75 +/- 0.20","additions","five independently generated task-set seeds; 3,000 matched tasks per seed","sample SD across the five task-set seed means","current_primary_benchmark","01_PRIMARY_5x3000_BENCHMARK/PRIMARY_BENCHMARK_SUMMARY.csv"
"M-011","Mean 1,000-particle PF controller computation per step","59.33 +/- 1.33","ms/step","five independent task seeds; 1,000 tasks per condition and method per seed","sample SD across the five seed-level means","current_pf_stress_timing","08_SENSOR_STRESS/current_pf_noise_stress/aggregate_summary.csv"
"M-012","Mean PPO controller computation per step","0.141 +/- 0.003","ms/step","five independent task seeds; 1,000 tasks per condition and method per seed","sample SD across the five seed-level means","current_pf_stress_timing","08_SENSOR_STRESS/current_pf_noise_stress/aggregate_summary.csv"
"M-013","Quality-controlled PF teacher training samples","63,728","state-action samples","one released teacher dataset","not applicable","current_teacher_dataset","02_TEACHER_AND_IMITATION/train_teacher_summary.json"
"M-014","Independent PF teacher validation samples","12,827","state-action samples","one released validation dataset","not applicable","current_teacher_dataset","02_TEACHER_AND_IMITATION/validation_teacher_summary.json"
"M-015","Untrained random actor true success in direction-only evaluation","44.09 +/- 9.66","%","five training/model or PF seeds; each evaluated over five fixed evaluation seeds of 3,000 tasks","sample SD across five training/model or PF seed aggregates","direction_only_random_initialization_ablation","04_RANDOM_INITIALIZATION/direction_only_summary/aggregate_summary.csv"
"M-016","PPO trained from random actor true success","78.35 +/- 5.46","%","five training/model or PF seeds; each evaluated over five fixed evaluation seeds of 3,000 tasks","sample SD across five training/model or PF seed aggregates","direction_only_random_initialization_ablation","04_RANDOM_INITIALIZATION/direction_only_summary/aggregate_summary.csv"
"M-017","PPO initialized from PF imitation true success","89.54 +/- 1.79","%","five training/model or PF seeds; each evaluated over five fixed evaluation seeds of 3,000 tasks","sample SD across five training/model or PF seed aggregates","direction_only_random_initialization_ablation","04_RANDOM_INITIALIZATION/direction_only_summary/aggregate_summary.csv"
"M-018","Frozen PF-distilled imitation true success in direction-only evaluation","87.82","%","one frozen selected checkpoint evaluated across five fixed evaluation seeds","not reported because there is one model checkpoint, not five independent model seeds","direction_only_random_initialization_ablation","04_RANDOM_INITIALIZATION/direction_only_summary/aggregate_summary.csv"
"M-019","PF posterior-direct true success when PF controls dose volume without overshoot cap","65.20 +/- 0.67","%","five PF seeds, each evaluated on five fixed evaluation seeds","sample SD across five PF-seed aggregates","direction_only_posterior_direct_no_overshoot_cap","04_RANDOM_INITIALIZATION/direction_only_summary/aggregate_summary.csv"
"S-001","Post-dose observations at the natural control endpoint","6.32 +/- 0.56","observations","five independent task seeds; 300 tasks per seed","sample SD across the five seed-level means; not PF posterior uncertainty and not a 95% CI","current_posterior_recovery","06_POSTERIOR_RECOVERY/current_complete_study/aggregate_posterior_summary.csv"
