
block_id,block_name,primary_purpose,replication_unit,tasks_or_cases,source_or_result_path,protocol_status
01_PRIMARY_5x3000_BENCHMARK,Primary locked benchmark,PF imitation PPO tuned PID prespecified PID and simple rule comparison,five task-set seeds,3000 matched tasks per seed,01_PRIMARY_5x3000_BENCHMARK/PRIMARY_BENCHMARK_SUMMARY.csv,current principal benchmark summary and paired evidence
02_TEACHER_AND_IMITATION,PF teacher and policy distillation,teacher dataset imitation training and PPO training source,training and validation seeds,see run configuration,02_TEACHER_AND_IMITATION/robust_pf_imitation_ppo_training_source,current training source and summaries
03_PPO_TRAINING_STABILITY,PPO seed stability,independent PPO checkpoints evaluated on a common held-out protocol,five PPO training seeds,1000 common held-out tasks plus 500 validation tasks per seed,03_PPO_TRAINING_STABILITY/evaluation and 03_PPO_TRAINING_STABILITY/runs,principal PPO stability analysis with task-level rerun materials
04_RANDOM_INITIALIZATION,Random initialization ablation,random actor versus PPO from random and PF imitation,five model seeds crossed with five evaluation seeds,3000 tasks per evaluation seed,04_RANDOM_INITIALIZATION/direction_only_summary,direction-only ablation
05_RL_ALGORITHM_SCREEN,Matched RL algorithm screen,PPO A2C and REINFORCE under a common direction-assisted volume policy,five training seeds,5000 training tasks and 1000 held-out tasks per seed,05_RL_ALGORITHM_SCREEN/direction_assisted_release,independent screening protocol
06_POSTERIOR_RECOVERY,Posterior recovery audit,parameter and response recovery through the natural control endpoint,five task seeds,300 tasks per seed,06_POSTERIOR_RECOVERY/current_complete_study,posterior audit
07_PRIOR_SENSITIVITY,Prior and likelihood sensitivity,ten prior or likelihood configurations,five task seeds,300 tasks per seed per configuration,07_PRIOR_SENSITIVITY/new_pf_prior_likelihood_sensitivity,sensitivity protocol
08_SENSOR_STRESS,Sensor nonideality stress,observation noise bias drift and incomplete response,five task seeds,1000 tasks per condition and method per seed,08_SENSOR_STRESS/current_pf_noise_stress,stress protocol
09_PF_RULE_ABLATIONS,PF rule and reward ablations,overshoot cap posterior-direct and reward or dose ablations,see block settings,see block settings,09_PF_RULE_ABLATIONS,ablation evidence
10_PARTICLE_SCALING,Particle-count scaling,1000 10000 and 100000 particle timing comparison,one common task set,100 tasks per particle count,10_PARTICLE_SCALING,particle timing protocol
11_PYMC_COMPARISON,PyMC versus PF,variable-order inference accuracy reconstruction and task timing,five seeds with three matched tasks per seed,15 matched tasks total,11_PYMC_COMPARISON/pymc_pf_comparison,offline comparison protocol
12_ONLINE_TIMING,Online decision latency,PyMC one-update PF update and neural policy timing,fresh-process and direct decision-cycle repeats,see FINAL_SINGLE_STEP_TIMING_SUMMARY.csv,12_ONLINE_TIMING/online_single_step_timing_20260820,latency protocol
